restaurant,average_sales,us_sales,num_company_stores,num_franchised_stores,unit_count
Subway,416.86,10800.00,0,25908,25908
Mcdonalds,2670.32,37480.67,842,13194,14036
Starbucks,945.27,13167.61,8222,5708,13930
Dunkin Donuts,733.13,9192.00,0,12538,12538
Pizza Hut,900.00,5510.84,96,7426,7522
Burger King,1387.81,10028.32,50,7196,7266
Taco Bell,1500.00,9790.15,647,5799,6446
Wendys,1610.00,9288.09,337,5432,5759
Dominos,1000.00,5900.00,392,5195,5587
Little Caesars,815.00,3530.58,535,3797,4332
KFC,1200.00,4417.05,54,4055,4109
Sonic,1250.00,4408.16,228,3365,3593
Arbys,1130.00,3634.00,1075,2340,3415
Papa Johns,968.45,3209.30,708,2606,3314
Jimmy Johns,796.97,2139.62,55,2700,2755
Baskin-Robbins,360.72,606.00,0,2560,2560
Chipotle,1940.00,4476.41,2371,0,2371
Jack in the Box,1543.00,3469.17,276,1975,2251
Popeyes,1440.19,3213.06,53,2178,2231